name,city,country,x,y,elevation,iata,icao
Deer Lake Airport,Deer Lake,Canada,-57.39139938354492,49.21080017089844,72,YDF,CYDF
Dease Lake Airport,Dease Lake,Canada,-130.031997681,58.4221992493,2600,YDL,CYDL
Dauphin Barker Airport,Dauphin,Canada,-100.052001953125,51.100799560546875,999,YDN,CYDN
Dawson Creek Airport,Dawson Creek,Canada,-120.18299865722656,55.7422981262207,2148,YDQ,CYDQ
Edmonton International Airport,Edmonton,Canada,-113.580001831,53.309700012200004,2373,YEG,CYEG
Arviat Airport,Eskimo Point,Canada,-94.07080078119999,61.0942001343,32,YEK,CYEK
Estevan Airport,Estevan,Canada,-102.966003418,49.2103004456,1905,YEN,CYEN
Edson Airport,Edson,Canada,-116.464996338,53.578899383499994,3043,YET,CYET
Eureka Airport,Eureka,Canada,-85.814201355,79.9946975708,256,YEU,CYEU
Inuvik Mike Zubko Airport,Inuvik,Canada,-133.483001709,68.30419921880001,224,YEV,CYEV
Iqaluit Airport,Iqaluit,Canada,-68.5558013916,63.756401062,110,YFB,CYFB
Fredericton Airport,Fredericton,Canada,-66.53720092773438,45.868900299072266,68,YFC,CYFC
Forestville Airport,Forestville,Canada,-69.09719848632812,48.74610137939453,293,NULL,CYFE
Flin Flon Airport,Flin Flon,Canada,-101.68199920654297,54.6781005859375,997,YFO,CYFO
Fort Resolution Airport,Fort Resolution,Canada,-113.690002441,61.1808013916,526,YFR,CYFR
Fort Simpson Airport,Fort Simpson,Canada,-121.23699951171875,61.76020050048828,555,YFS,CYFS
Kingston Norman Rogers Airport,Kingston,Canada,-76.5969009399414,44.22529983520508,305,YGK,CYGK
Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,-64.4785995483,48.7752990723,112,YGP,CYGP
Geraldton Greenstone Regional Airport,Geraldton,Canada,-86.93939971923828,49.77830123901367,1144,YGQ,CYGQ
Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,-61.778099060058594,47.42470169067383,35,YGR,CYGR
Hudson Bay Airport,Hudson Bay,Canada,-102.310997009,52.8166999817,1175,YHB,CYHB
Dryden Regional Airport,Dryden,Canada,-92.74420166015625,49.83169937133789,1354,YHD,CYHD
Ulukhaktok Holman Airport,Holman Island,Canada,-117.80599975585938,70.76280212402344,117,YHI,CYHI
Gjoa Haven Airport,Gjoa Haven,Canada,-95.84970092770001,68.635597229,152,YHK,CYHK
John C. Munro Hamilton International Airport,Hamilton,Canada,-79.93499755859999,43.173599243199995,780,YHM,CYHM
Montréal / Saint-Hubert Airport,Montreal,Canada,-73.4169006348,45.5175018311,90,YHU,CYHU
Hay River / Merlyn Carter Airport,Hay River,Canada,-115.782997131,60.8396987915,541,YHY,CYHY
Halifax / Stanfield International Airport,Halifax,Canada,-63.5085983276,44.8807983398,477,YHZ,CYHZ
Atikokan Municipal Airport,Atikokan,Canada,-91.6386032104,48.7738990784,1408,YIB,CYIB
Pond Inlet Airport,Pond Inlet,Canada,-77.9666976929,72.6832962036,181,YIO,CYIO
St Jean Airport,St. Jean,Canada,-73.28109741210938,45.29439926147461,136,YJN,CYJN
Stephenville Airport,Stephenville,Canada,-58.54999923706055,48.5442008972168,84,YJT,CYJT
Kamloops Airport,Kamloops,Canada,-120.444000244,50.7022018433,1133,YKA,CYKA
Waterloo Airport,Waterloo,Canada,-80.3786010742,43.460800170899994,1055,YKF,CYKF
Schefferville Airport,Schefferville,Canada,-66.8052978515625,54.805301666259766,1709,YKL,CYKL
Kindersley Airport,Kindersley,Canada,-109.180999756,51.5175018311,2277,YKY,CYKY
Buttonville Municipal Airport,Toronto,Canada,-79.37000274658203,43.86220169067383,650,YKZ,CYKZ
Chapleau Airport,Chapleau,Canada,-83.3467025756836,47.81999969482422,1470,YLD,CYLD
Meadow Lake Airport,Meadow Lake,Canada,-108.52300262451172,54.125301361083984,1576,YLJ,CYLJ
Lloydminster Airport,Lloydminster,Canada,-110.072998046875,53.309200286865234,2193,YLL,CYLL
Alert Airport,Alert,Canada,-62.2806015015,82.51779937740001,100,YLT,CYLT
Kelowna International Airport,Kelowna,Canada,-119.377998352,49.9561004639,1421,YLW,CYLW
Mayo Airport,Mayo,Canada,-135.8679962158203,63.61640167236328,1653,YMA,CYMA
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,-105.55899810791016,50.330299377441406,1892,YMJ,CYMJ
Fort McMurray Airport,Fort Mcmurray,Canada,-111.222000122,56.653301239,1211,YMM,CYMM
Moosonee Airport,Moosonee,Canada,-80.60780334472656,51.291099548339844,30,YMO,CYMO
Maniwaki Airport,Maniwaki,Canada,-75.9906005859,46.2728004456,656,YMW,CYMW
Montreal International (Mirabel) Airport,Montreal,Canada,-74.0386962891,45.6795005798,270,YMX,CYMX
Natashquan Airport,Natashquan,Canada,-61.78919982910156,50.189998626708984,39,YNA,CYNA
Ottawa / Gatineau Airport,Gatineau,Canada,-75.5635986328,45.521701812699995,211,YND,CYND
Matagami Airport,Matagami,Canada,-77.80280303955078,49.76169967651367,918,YNM,CYNM
Old Crow Airport,Old Crow,Canada,-139.83900451660156,67.57060241699219,824,YOC,CYOC
CFB Cold Lake,Cold Lake,Canada,-110.27899932861328,54.404998779296875,1775,YOD,CYOD
High Level Airport,High Level,Canada,-117.16500091552734,58.62139892578125,1110,YOJ,CYOJ
Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,-75.66919708251953,45.3224983215332,374,YOW,CYOW
