dst_ap,src_ap,codeshare,dst_ap_name,dst_ap_country,src_ap_name,src_ap_country,airline_name
BOY,ABJ,,Bobo Dioulasso Airport,Burkina Faso,Port Bouet Airport,Cote d'Ivoire,Air Burkina
OA,ABJ,,Ouagadougou Airport,Burkina Faso,Port Bouet Airport,Cote d'Ivoire,Air Burkina
OA,ACC,,Ouagadougou Airport,Burkina Faso,Kotoka International Airport,Ghana,Air Burkina
ABJ,BKO,,Port Bouet Airport,Cote d'Ivoire,Senou Airport,Mali,Air Burkina
DKR,BKO,,Léopold Sédar Senghor International Airport,Senegal,Senou Airport,Mali,Air Burkina
OA,BKO,,Ouagadougou Airport,Burkina Faso,Senou Airport,Mali,Air Burkina
ABJ,BOY,,Port Bouet Airport,Cote d'Ivoire,Bobo Dioulasso Airport,Burkina Faso,Air Burkina
OA,BOY,,Ouagadougou Airport,Burkina Faso,Bobo Dioulasso Airport,Burkina Faso,Air Burkina
OA,COO,,Ouagadougou Airport,Burkina Faso,Cadjehoun Airport,Benin,Air Burkina
OA,IM,,Ouagadougou Airport,Burkina Faso,Diori Hamani International Airport,Niger,Air Burkina
ABJ,OA,,Port Bouet Airport,Cote d'Ivoire,Ouagadougou Airport,Burkina Faso,Air Burkina
BKO,OA,,Senou Airport,Mali,Ouagadougou Airport,Burkina Faso,Air Burkina
COO,OA,,Cadjehoun Airport,Benin,Ouagadougou Airport,Burkina Faso,Air Burkina
FW,OA,,Lomé-Tokoin Airport,Togo,Ouagadougou Airport,Burkina Faso,Air Burkina
GYE,BOG,,José Joaquín de Olmedo International Airport,Ecuador,El Dorado International Airport,Colombia,Aerolineas Galapagos (Aerogal)
